"id","date_year","date_prel","liste_faunistique_floristique","facies_substrat","facies_vitesse","facies_profondeur"
398943,"2010",2010-08-11 00:00:00.000,3541596,"Pierres, galets",Vitesse < 5 cm/s,
398943,"2013",2013-07-23 00:00:00.000,3545195,"Roches, dalles",Vitesse < 5 cm/s,
398944,"2007",2007-08-29 00:00:00.000,3525909,,,
398944,"2007",2007-08-29 00:00:00.000,3525910,,,
398944,"2009",2009-09-28 00:00:00.000,3527276,,,
398944,"2009",2009-09-28 00:00:00.000,3527277,,,
398944,"2007",2007-09-13 00:00:00.000,3534817,pierres,"25 cm/s <= vitesse < 75 cm/s",
398944,"2008",2008-10-15 00:00:00.000,3536276,pierres,"25 cm/s <= vitesse < 75 cm/s",
398944,"2009",2009-10-19 00:00:00.000,3537166,pierres,"25 cm/s <= vitesse < 75 cm/s",
398944,"2010",2010-09-16 00:00:00.000,3539609,pierres,"25 cm/s <= vitesse < 75 cm/s",
398944,"2011",2011-10-06 00:00:00.000,3545014,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s",
398944,"2012",2012-10-25 00:00:00.000,3545081,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s",
398944,"2013",2013-07-23 00:00:00.000,3545196,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s",
398944,"2007",2007-06-22 00:00:00.000,3551258,Bryophytes,"75 cm/s <= vitesse < 150 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551259,"Sables, limons",Vitesse < 5 cm/s,"Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551260,"Roches, dalles","75 cm/s <= vitesse < 150 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551261,"Algues, argiles","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551262,Hydrophytes,"75 cm/s <= vitesse < 150 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551263,"Branch, racines",Vitesse < 5 cm/s,"Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551264,"Pierres, galets","75 cm/s <= vitesse < 150 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551265,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551266,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551267,"Pierres, galets","5 cm/s <= vitesse < 25 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551268,Granulats,"25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-06-22 00:00:00.000,3551269,Granulats,"75 cm/s <= vitesse < 150 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565994,Bryophytes,"25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565995,"Sables, limons",Vitesse < 5 cm/s,"Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565996,"Roches, dalles","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565997,"Algues, argiles","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565998,Bryophytes,"5 cm/s <= vitesse < 25 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3565999,Bryophytes,Vitesse < 5 cm/s,"Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566000,Hydrophytes,"25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566001,Hydrophytes,"5 cm/s <= vitesse < 25 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566002,"Branch, racines",Vitesse < 5 cm/s,"Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566003,"Pierres, galets","25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566004,"Pierres, galets","5 cm/s <= vitesse < 25 cm/s","Entre 0,1 et 0,5 m"
398944,"2007",2007-09-13 00:00:00.000,3566005,Granulats,"25 cm/s <= vitesse < 75 cm/s","Entre 0,1 et 0,5 m"
398944,"2008",2008-06-24 00:00:00.000,3578392,,,
398944,"2008",2008-06-24 00:00:00.000,3578393,,,
398944,"2008",2008-06-24 00:00:00.000,3578394,,,
398944,"2009",2009-06-16 00:00:00.000,3589680,,,
398944,"2009",2009-06-16 00:00:00.000,3589681,,,
398944,"2009",2009-06-16 00:00:00.000,3589682,,,
398944,"2010",2010-07-19 00:00:00.000,3597768,,,
398944,"2010",2010-07-19 00:00:00.000,3597769,,,
398944,"2010",2010-07-19 00:00:00.000,3597770,,,
398944,"2011",2011-07-07 00:00:00.000,3604001,,,
398944,"2011",2011-07-07 00:00:00.000,3604002,,,
398944,"2011",2011-07-07 00:00:00.000,3604003,,,
398944,"2012",2012-07-26 00:00:00.000,3613904,,,
398944,"2012",2012-07-26 00:00:00.000,3613905,,,
398944,"2012",2012-07-26 00:00:00.000,3613906,,,
398944,"2013",2013-07-10 00:00:00.000,3624658,,,
398944,"2013",2013-07-10 00:00:00.000,3624659,,,
398944,"2013",2013-07-10 00:00:00.000,3624660,,,
398944,"2007",2007-07-11 00:00:00.000,3647288,,,
398944,"2009",2009-06-30 00:00:00.000,3652381,,,
398944,"2009",2009-06-30 00:00:00.000,3663188,,,
398944,"2013",2013-10-01 00:00:00.000,3663395,,,
398944,"2011",2011-06-16 00:00:00.000,3668716,,,
398944,"2007",2007-07-11 00:00:00.000,3677043,,,
398944,"2011",2011-06-16 00:00:00.000,3679618,,,
